url,html,tag_name,attributes,inner_text,is_visible,bounding_box,selector,suggested_action,clean_html,text_length,has_id,has_class,num_attributes,position_x,position_y,element_width,element_height,text_features,tag_encoded,action_label
https://www.automationexercise.com/test_cases,"<a href=""/""><i class=""fa fa-home""></i> Home</a>",a,{'href': '/'}, Home,True,"{'x': 471.81817626953125, 'y': 29.999998092651367, 'width': 56.73297119140625, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click,,-1.0435753453226397,False,False,-0.9399108258598571,-0.8074953491665768,-0.7006390487218042,0.8039305700949182,-0.35372373330680773,"{'text_length': 5, 'word_count': 1, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,0.0
https://www.automationexercise.com/,"<a href=""/product_details/24"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>",a,"{'href': '/product_details/24', 'style': 'color: brown;'}",View Product,True,"{'x': 948.835205078125, 'y': 4378.97705078125, 'width': 248.3948974609375, 'height': 38.5654296875}",html:nth-child(1) > body:nth-child(2) > section:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(23) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 12, 'word_count': 2, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/products,"<a href=""/product_details/13"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>",a,"{'href': '/product_details/13', 'style': 'color: brown;'}",View Product,True,"{'x': 948.835205078125, 'y': 2473.565185546875, 'width': 248.3948974609375, 'height': 38.5654296875}",html:nth-child(1) > body:nth-child(2) > section:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(13) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 12, 'word_count': 2, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/,"<a href=""/product_details/21"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>",a,"{'href': '/product_details/21', 'style': 'color: brown;'}",View Product,True,"{'x': 373.8636169433594, 'y': 4238.9345703125, 'width': 248.39486694335938, 'height': 38.5654296875}",html:nth-child(1) > body:nth-child(2) > section:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(20) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 12, 'word_count': 2, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/,"<a href=""/brand_products/Madame""> <span class=""pull-right"">(5)</span>Madame</a>",a,{'href': '/brand_products/Madame'},"(5)
MADAME",True,"{'x': 62.727272033691406, 'y': 997.9403076171875, 'width': 260.6818161010742, 'height': 30}",html:nth-child(1) > body:nth-child(2) > section:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(4) > div:nth-child(2) > ul:nth-child(1) > li:nth-child(3) > a:nth-child(1),click,,3.5423613086083483,False,False,0.09318081463265813,-0.5266341023974009,0.288647057576398,0.800086991885267,3.5575628828926424,"{'text_length': 10, 'word_count': 2, 'has_number': True, 'has_special_chars': True, 'html_length': 0, 'html_word_count': 0}",0,1.0
https://www.automationexercise.com/test_cases,"<a id=""scrollUp"" href=""#top"" style=""display: none; position: fixed; z-index: 2147483647;""><i class=""fa fa-angle-up""></i></a>",a,"{'id': 'scrollUp', 'href': '#top', 'style': 'display: none; position: fixed; z-index: 2147483647;'}",,False,,#scrollUp,click,,,True,False,,,,,,"{'text_length': 0, 'word_count': 0, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/test_cases,"<a href=""http://automationexercise.com"">'http://automationexercise.com'</a>",a,{'href': 'http://automationexercise.com'},'http://automationexercise.com',False,,#collapse16 > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 31, 'word_count': 1, 'has_number': False, 'has_special_chars': True, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/,"<a href=""#slider-carousel"" class=""left control-carousel hidden-xs"" data-slide=""prev"">
							<i class=""fa fa-angle-left""></i>
						</a>",a,"{'href': '#slider-carousel', 'class': 'left control-carousel hidden-xs', 'data-slide': 'prev'}",,True,"{'x': 61.818180084228516, 'y': 353.4090881347656, 'width': 21.43465805053711, 'height': 85.710205078125}",#slider-carousel > a:nth-child(3),click,,,False,True,,,,,,"{'text_length': 0, 'word_count': 0, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/,"<a href=""/api_list""><i class=""fa fa-list""></i> API Testing</a>",a,{'href': '/api_list'}, API Testing,True,"{'x': 995.0994262695312, 'y': 29.999998092651367, 'width': 90.38348388671875, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(6) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 12, 'word_count': 2, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
https://www.automationexercise.com/products,"<a href=""/product_details/3"" style=""color: brown;""><i class=""fa fa-plus-square""></i>View Product</a>",a,"{'href': '/product_details/3', 'style': 'color: brown;'}",View Product,True,"{'x': 948.835205078125, 'y': 943.7499389648438, 'width': 248.3948974609375, 'height': 38.56536865234375}",html:nth-child(1) > body:nth-child(2) > section:nth-child(3) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > div:nth-child(5) > div:nth-child(1) > div:nth-child(2) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click,,,False,False,,,,,,"{'text_length': 12, 'word_count': 2, 'has_number': False, 'has_special_chars': False, 'html_length': 0, 'html_word_count': 0}",0,
