url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://www.selenium.dev/documentation/,navigation,nav,{'class': 'js-navbar-scroll navbar navbar-expand-lg navbar-light bg-white flex-row td-navbar'},"About
Downloads
Documentation
Projects
Support
Blog
English
Search
K",True,"{'x': 0, 'y': 0, 'width': 1263.6363525390625, 'height': 63.99147415161133}",html > body > header > nav,,,js-navbar-scroll navbar navbar-expand-lg navbar-light bg-white flex-row td-navbar,,True,False,68,3,header
https://www.selenium.dev/documentation/,navigation,nav,"{'class': 'td-sidebar-nav collapse td-sidebar-nav--search-disabled', 'id': 'td-section-nav'}","Documentation
Overview
WebDriver
Selenium Manager
Grid
IE Driver Server
IDE
Test Practices
Legacy
About",True,"{'x': -3.0113635063171387, 'y': -760.63916015625, 'width': 211.7045397758484, 'height': 332.7556457519531}",nav#td-section-nav,,,td-sidebar-nav collapse td-sidebar-nav--search-disabled,td-section-nav,True,False,103,2,div
https://www.selenium.dev/documentation/,navigation,nav,"{'aria-label': 'breadcrumb', 'class': 'td-breadcrumbs td-breadcrumbs__single'}","Documentation
v4.0",True,"{'x': 258.59375, 'y': -644.8153076171875, 'width': 782.428955078125, 'height': 23.991455078125}",html > body > div > div > div > main > nav,,breadcrumb,td-breadcrumbs td-breadcrumbs__single,,True,False,18,1,main
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'navbar-toggler', 'type': 'button', 'data-bs-toggle': 'collapse', 'data-bs-target': '#main_navbar', 'aria-controls': 'main_navbar', 'aria-expanded': 'false', 'aria-label': 'Toggle navigation'}",,False,,html > body > header > nav > button,,Toggle navigation,navbar-toggler,,False,False,0,1,nav
https://www.selenium.dev/documentation/,interactive,button,"{'type': 'button', 'class': 'DocSearch DocSearch-Button', 'aria-label': 'Search'}","Search
K",True,"{'x': 1110.01416015625, 'y': 13.991477012634277, 'width': 153.6221923828125, 'height': 35.994317054748535}",div#docsearch-1 > button,,Search,DocSearch DocSearch-Button,,True,False,8,2,div
https://www.selenium.dev/documentation/,interactive,button,"{'type': 'button', 'class': 'DocSearch DocSearch-Button', 'aria-label': 'Search'}",SearchK,False,,div#docsearch-0 > button,,Search,DocSearch DocSearch-Button,,False,False,7,2,div
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'btn btn-link td-sidebar__toggle d-md-none p-0 ms-3 fas fa-bars', 'type': 'button', 'data-bs-toggle': 'collapse', 'data-bs-target': '#td-section-nav', 'aria-controls': 'td-section-nav', 'aria-expanded': 'false', 'aria-label': 'Toggle section navigation'}",,False,,div#content-mobile > form > button,,Toggle section navigation,btn btn-link td-sidebar__toggle d-md-none p-0 ms-3 fas fa-bars,,False,False,0,0,form
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link active', 'id': 'tabs-03-00-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-00', 'role': 'tab', 'data-td-tp-persist': 'java', 'aria-controls': 'tabs-03-00', 'aria-selected': 'true'}",Java,True,"{'x': 258.59375, 'y': 757.0170288085938, 'width': 62.457366943359375, 'height': 41.803955078125}",button#tabs-03-00-tab,tab,,nav-link active,tabs-03-00-tab,True,False,4,0,li
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link', 'id': 'tabs-03-01-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-01', 'role': 'tab', 'data-td-tp-persist': 'python', 'aria-controls': 'tabs-03-01', 'aria-selected': 'false', 'tabindex': '-1'}",Python,True,"{'x': 321.0511169433594, 'y': 771.5625, 'width': 85.19888305664062, 'height': 41.803955078125}",button#tabs-03-01-tab,tab,,nav-link,tabs-03-01-tab,True,False,6,0,li
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link', 'id': 'tabs-03-02-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-02', 'role': 'tab', 'data-td-tp-persist': 'csharp', 'aria-controls': 'tabs-03-02', 'aria-selected': 'false', 'tabindex': '-1'}",CSharp,True,"{'x': 406.25, 'y': 771.5625, 'width': 83.678955078125, 'height': 41.803955078125}",button#tabs-03-02-tab,tab,,nav-link,tabs-03-02-tab,True,False,6,0,li
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link', 'id': 'tabs-03-03-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-03', 'role': 'tab', 'data-td-tp-persist': 'ruby', 'aria-controls': 'tabs-03-03', 'aria-selected': 'false', 'tabindex': '-1'}",Ruby,True,"{'x': 489.928955078125, 'y': 771.5625, 'width': 70.3551025390625, 'height': 41.803955078125}",button#tabs-03-03-tab,tab,,nav-link,tabs-03-03-tab,True,False,4,0,li
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link', 'id': 'tabs-03-04-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-04', 'role': 'tab', 'data-td-tp-persist': 'javascript', 'aria-controls': 'tabs-03-04', 'aria-selected': 'false', 'tabindex': '-1'}",JavaScript,True,"{'x': 560.2840576171875, 'y': 771.5625, 'width': 102.51422119140625, 'height': 41.803955078125}",button#tabs-03-04-tab,tab,,nav-link,tabs-03-04-tab,True,False,10,0,li
https://www.selenium.dev/documentation/,interactive,button,"{'class': 'nav-link', 'id': 'tabs-03-05-tab', 'data-bs-toggle': 'tab', 'data-bs-target': '#tabs-03-05', 'role': 'tab', 'data-td-tp-persist': 'kotlin', 'aria-controls': 'tabs-03-05', 'aria-selected': 'false', 'tabindex': '-1'}",Kotlin,True,"{'x': 662.7982788085938, 'y': 771.5625, 'width': 74.8011474609375, 'height': 41.803955078125}",button#tabs-03-05-tab,tab,,nav-link,tabs-03-05-tab,True,False,6,0,li
