url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://dev.to/,content,nav,"{'class': 'mb-4 mt-4', 'data-testid': 'main-nav', 'aria-label': 'DEV Community'}","Home
DEV++
Podcasts
Videos
Tags
DEV Help
Forem Shop
Advertise on DEV
DEV Challenges
DEV Showcase
About
Contact
Free Postgres Database
Guides
Software comparisons",True,"{'x': 15.994318008422852, 'y': 407.6988525390625, 'width': 239.99999046325684, 'height': 599.7869262695312}",div#sidebar-wrapper-left > aside > nav,,DEV Community,mb-4 mt-4,,True,False,161,1,aside
https://dev.to/,content,nav,"{'class': 'mb-4', 'data-testid': 'other-nav', 'aria-labelledby': 'other-nav-heading-sidebar'}","Other
Code of Conduct
Privacy Policy
Terms of use",True,"{'x': 15.994318008422852, 'y': 1023.4801025390625, 'width': 239.99999046325684, 'height': 159.943115234375}",div#sidebar-wrapper-left > aside > nav:nth-of-type(2),,,mb-4,,True,False,49,2,aside
https://dev.to/,content,nav,"{'class': 'mb-6', 'aria-label': 'Secondary sidebar nav'}","Popular Tags
#webdev
#javascript
#programming
#beginners
#tutorial
#ai
#react
#python
#devops
#productivity
#aws
#discuss
#career
#css
#learning
#opensource
#typescript
#node
#java
#news
#cloud
#database
#security
#machinelearning
#linux
#php
#testing
#api
#softwaredevelopment
#android",True,"{'x': 15.994318008422852, 'y': 1295.3834228515625, 'width': 239.99999046325684, 'height': 342.3721923828125}",div#sidebar-wrapper-left > aside > nav:nth-of-type(3),,Secondary sidebar nav,mb-6,,True,False,286,2,aside
https://dev.to/,content,nav,"{'class': '-mx-3 m:mx-0 s:flex items-center justify-between', 'aria-label': 'View posts by'}","Relevant
Latest
Top",True,"{'x': 271.9886169433594, 'y': 71.98863220214844, 'width': 639.7727355957031, 'height': 34.971588134765625}",main#main-content > header > nav,,View posts by,-mx-3 m:mx-0 s:flex items-center justify-between,,True,False,19,1,header
https://dev.to/,content,header,"{'id': 'topbar', 'class': 'crayons-header topbar print-hidden'}","Skip to content
Powered by  Algolia
Log in
Create account",True,"{'x': 0, 'y': 0, 'width': 1263.6363525390625, 'height': 55.99431610107422}",header#topbar,,,crayons-header topbar print-hidden,topbar,True,False,57,3,body
https://dev.to/,content,header,{'class': 'hamburger__content__header'},"DEV Community

      
        Close",False,,html > body > div:nth-of-type(4) > div > header,,,hamburger__content__header,,False,False,35,2,div
https://dev.to/,content,header,{'class': 'p-2 px-3 m:p-0 m:px-0 m:mb-2 fs-l'},"Posts
Relevant
Latest
Top",True,"{'x': 271.9886169433594, 'y': 71.98863220214844, 'width': 639.7727355957031, 'height': 34.971588134765625}",main#main-content > header,,,p-2 px-3 m:p-0 m:px-0 m:mb-2 fs-l,,True,False,25,2,main
https://dev.to/,content,header,{'class': 'crayons-card__header'},"#discuss
Discussion threads targeting the whole community",True,"{'x': 927.7556762695312, 'y': 472.48577880859375, 'width': 319.88629150390625, 'height': 72.883544921875}",aside#sidebar-additional > section > header,,,crayons-card__header,,True,False,57,2,section
https://dev.to/,content,header,{'class': 'crayons-card__header'},"#watercooler
Light, and off-topic conversation.",True,"{'x': 927.7556762695312, 'y': 996.8323364257812, 'width': 319.88629150390625, 'height': 72.88348388671875}",aside#sidebar-additional > section:nth-of-type(2) > header,,,crayons-card__header,,True,False,47,2,section
https://dev.to/,content,header,{},trending guides/resources,True,"{'x': 943.7499389648438, 'y': 1672.144775390625, 'width': 287.89776611328125, 'height': 37.5994873046875}",aside#sidebar-additional > section:nth-of-type(3) > header,,,,,True,False,25,1,section
