url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://vuejs.org/guide/introduction.html,navigation,nav,"{'aria-labelledby': 'main-nav-aria-label', 'class': 'VPNavBarMenu menu', 'data-v-926b474f': '', 'data-v-93948c33': ''}","Main Navigation
Docs
API
Playground
Ecosystem
About
Sponsor
Experts
NEW",True,"{'x': 397.44317626953125, 'y': 0, 'width': 676.2357788085938, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav,,,VPNavBarMenu menu,,True,False,71,9,div
https://vuejs.org/guide/introduction.html,navigation,nav,"{'id': 'VPSidebarNav', 'aria-labelledby': 'sidebar-aria-label', 'tabindex': '-1', 'data-v-3146ed73': ''}","API Preference
Options
Composition
?

API style now defaults to Composition API.

Some pages contain different content based on the API style chosen. Use this switch to toggle between APIs styles.

Learn moreGot it

Sidebar Navigation
Getting Started

Introduction

Quick Start

Essentials

Creating an Application

Template Syntax

Reactivity Fundamentals

Computed Properties

Class and Style Bindings

Conditional Rendering

List Rendering

Event Handling

Form Input Bindings

Watchers

Template Refs

Components Basics

Lifecycle Hooks

Components In-Depth

Registration

Props

Events

Component v-model

Fallthrough Attributes

Slots

Provide / inject

Async Components

Reusability

Composables

Custom Directives

Plugins

Built-in Components

Transition

TransitionGroup

KeepAlive

Teleport

Suspense

Scaling Up

Single-File Components

Tooling

Routing

State Management

Testing

Server-Side Rendering (SSR)

Best Practices

Production Deployment

Performance

Accessibility

Security

TypeScript

Overview

TS with Composition API

TS with Options API

Extra Topics

Ways of Using Vue

Composition API FAQ

Reactivity in Depth

Rendering Mechanism

Render Functions & JSX

Vue and Web Components

Animation Techniques

Get Security Updates for Vue 2",True,"{'x': 31.988636016845703, 'y': 54.999996185302734, 'width': 190.73862838745117, 'height': 2025.4401893615723}",nav#VPSidebarNav,,,,VPSidebarNav,True,False,1264,12,aside
https://vuejs.org/guide/introduction.html,navigation,nav,"{'aria-labelledby': 'doc-outline-aria-label', 'data-v-74231c93': ''}","Table of Contents for current page
What is Vue?
The Progressive Framework
Single-File Components
API Styles
Still Got Questions?
Pick Your Learning Path",True,"{'x': 1019.9715576171875, 'y': 146.98863220214844, 'width': 223.991455078125, 'height': 167.9829559326172}",div#VPContent > div > div > div > div > div > nav,,,,,True,False,152,2,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'DocSearch DocSearch-Button', 'aria-label': 'Search'}","Search
Ctrl
K",True,"{'x': 128.55113220214844, 'y': 0, 'width': 139.4318084716797, 'height': 54.999996185302734}",div#docsearch > button,,Search,DocSearch DocSearch-Button,,True,False,13,2,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'vt-flyout-button', 'aria-haspopup': 'true', 'aria-expanded': 'false'}",Docs,True,"{'x': 397.44317626953125, 'y': 0, 'width': 73.70736694335938, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav > div > button,,,vt-flyout-button,,True,False,4,1,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'vt-flyout-button', 'aria-haspopup': 'true', 'aria-expanded': 'false'}",Ecosystem,True,"{'x': 613.210205078125, 'y': 0, 'width': 110.1278076171875, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav > div:nth-of-type(2) > button,,,vt-flyout-button,,True,False,9,1,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'vt-flyout-button', 'aria-haspopup': 'true', 'aria-expanded': 'false'}",About,True,"{'x': 723.3380126953125, 'y': 0, 'width': 79.3182373046875, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav > div:nth-of-type(3) > button,,,vt-flyout-button,,True,False,5,1,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'vt-flyout-button', 'aria-haspopup': 'true', 'aria-expanded': 'false'}","Experts
NEW",True,"{'x': 880.0283813476562, 'y': 0, 'width': 127.71307373046875, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav > div:nth-of-type(4) > button,,,vt-flyout-button,,True,False,11,1,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'type': 'button', 'class': 'vt-flyout-button', 'aria-haspopup': 'true', 'aria-expanded': 'false', 'aria-label': 'Select Language'}",,True,"{'x': 1007.741455078125, 'y': 0, 'width': 65.9375, 'height': 54.999996185302734}",div#app > div > header > div > div > div > nav > div:nth-of-type(5) > button,,Select Language,vt-flyout-button,,True,False,0,1,div
https://vuejs.org/guide/introduction.html,interactive,button,"{'class': 'vt-switch vt-switch-appearance', 'type': 'button', 'role': 'switch', 'aria-label': 'Toggle dark mode', 'aria-checked': 'false', 'data-v-2dded041': ''}",,True,"{'x': 1081.6761474609375, 'y': 16.50568199157715, 'width': 40, 'height': 21.98863410949707}",div#app > div > header > div > div > div > div:nth-of-type(2) > button,switch,Toggle dark mode,vt-switch vt-switch-appearance,,True,False,0,1,div
