url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,nav,"{'class': 'main-nav', 'aria-label': 'Main menu'}","References
Learn
Plus
Curriculum
NEW
Blog
Tools",True,"{'x': 191.98863220214844, 'y': 9.005681037902832, 'width': 513.9488677978516, 'height': 43.97727108001709}",div#root > div > div:nth-of-type(2) > header > div > div:nth-of-type(2) > nav,,Main menu,main-nav,,True,False,47,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,nav,"{'class': 'breadcrumbs-container', 'aria-label': 'Breadcrumb'}","References
HTML
Elements",True,"{'x': 15.994318008422852, 'y': 65.8522720336914, 'width': 263.77838706970215, 'height': 27.173294067382812}",div#root > div > div:nth-of-type(2) > div > div > nav,,Breadcrumb,breadcrumbs-container,,True,False,24,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,nav,"{'aria-label': 'Related Topics', 'class': 'sidebar-inner'}","Filter sidebar
HTML
Beginner's tutorials
Guides
References
HTML elements
Global attributes
Attributes
<input> types",True,"{'x': 15.994318008422852, 'y': 97.99715423583984, 'width': 255.89487266540527, 'height': 455.6675796508789}",aside#sidebar-quicklinks > nav,,Related Topics,sidebar-inner,,True,False,115,3,aside
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,nav,{},"In this article
Main root
Document metadata
Sectioning root
Content sectioning
Text content
Inline text semantics
Image and multimedia
Embedded content
SVG and MathML
Scripting
Demarcating edits
Table content
Forms
Interactive elements
Web Components
Obsolete and deprecated elements
See also",True,"{'x': 1007.6420288085938, 'y': 145.9943084716797, 'width': 223.63629150390625, 'height': 762.4999542236328}",div#root > div > div:nth-of-type(3) > div > div > aside > nav,,,,,True,False,292,1,aside
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,header,{'class': 'top-navigation \n      \n      '},"References
Learn
Plus
Curriculum
NEW
Blog
Tools
Search MDN
SEARCH
Theme
Log in
Sign up for free",True,"{'x': 0, 'y': -0.9943181276321411, 'width': 1263.6363525390625, 'height': 64.90056431293488}",div#root > div > div:nth-of-type(2) > header,,,"top-navigation 
      
      ",,True,False,95,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,header,{'class': 'sidebar-actions'},Filter sidebar,True,"{'x': 15.994318008422852, 'y': 97.99715423583984, 'width': 255.89487266540527, 'height': 63.991477966308594}",aside#sidebar-quicklinks > nav > header,,,sidebar-actions,,True,False,14,1,nav
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,header,{},In this article,False,,aside#sidebar-quicklinks > nav > div > div > div > section > header,,,,,False,False,15,1,section
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,header,{},In this article,True,"{'x': 1007.6420288085938, 'y': 145.9943084716797, 'width': 223.63629150390625, 'height': 23.039779663085938}",div#root > div > div:nth-of-type(3) > div > div > aside > nav > div > section > header,,,,,True,False,15,1,section
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,header,{},HTML elements reference,True,"{'x': 319.8863525390625, 'y': -142.94033813476562, 'width': 639.7584838867188, 'height': 47.75568389892578}",main#content > article > header,,,,,True,False,23,1,article
https://developer.mozilla.org/en-US/docs/Web/HTML/Element,content,footer,"{'id': 'nav-footer', 'class': 'page-footer'}","Your blueprint for a better internet.

MDN on Mastodon
MDN on X (formerly Twitter)
MDN on GitHub
MDN Blog RSS Feed
MDN
About
Blog
Careers
Advertise with us
Support
Product help
Report an issue
Our communities
MDN Community
MDN Forum
MDN Chat
Developers
Web Technologies
Learn Web Development
MDN Plus
Hacks Blog
Website Privacy Notice
Cookies
Legal
Community Participation Guidelines

Visit Mozilla Corporation’s not-for-profit parent, the Mozilla Foundation.
Portions of this content are ©1998–2025 by individual mozilla.org contributors. Content available under a Creative Commons license.",True,"{'x': 0, 'y': 18740.0703125, 'width': 1263.6363525390625, 'height': 344.9296875}",footer#nav-footer,,,page-footer,nav-footer,True,False,591,1,div
