url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,nav,"{'class': 'main-nav', 'aria-label': 'Main menu'}","References
Learn
Plus
Curriculum
NEW
Blog
Tools",True,"{'x': 191.98863220214844, 'y': 63.99147415161133, 'width': 513.9488677978516, 'height': 43.97726821899414}",div#root > div > div:nth-of-type(2) > header > div > div:nth-of-type(2) > nav,,Main menu,main-nav,,True,False,47,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,nav,"{'class': 'breadcrumbs-container', 'aria-label': 'Breadcrumb'}","References
HTML
Elements
<img>",True,"{'x': 15.994318008422852, 'y': 120.83806610107422, 'width': 340.3124752044678, 'height': 27.17328643798828}",div#root > div > div:nth-of-type(2) > div > div > nav,,Breadcrumb,breadcrumbs-container,,True,False,30,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,nav,"{'aria-label': 'Related Topics', 'class': 'sidebar-inner'}","Filter sidebar
HTML
Beginner's tutorials
Guides
References
HTML elements
<a>
<abbr>
<acronym>
Deprecated
<address>
<area>
<article>
<aside>
<audio>
<b>
<base>
<bdi>
<bdo>
<big>
Deprecated
<blockquote>
<body>
<br>
<button>
<canvas>
<caption>
<center>
Deprecated
<cite>
<code>
<col>
<colgroup>
<data>
<datalist>
<dd>
<del>
<details>
<dfn>
<dialog>
<dir>
Deprecated
<div>
<dl>
<dt>
<em>
<embed>
<fencedframe>
Experimental
<fieldset>
<figcaption>
<figure>
<font>
Deprecated
<footer>
<form>
<frame>
Deprecated
<frameset>
Deprecated
<h1>
<head>
<header>
<hgroup>
<hr>
<html>
<i>
<iframe>
<img>
<input>
<ins>
<kbd>
<label>
<legend>
<li>
<link>
<main>
<map>
<mark>
<marquee>
Deprecated
<menu>
<meta>
<meter>
<nav>
<nobr>
Deprecated
<noembed>
Deprecated
<noframes>
Deprecated
<noscript>
<object>
<ol>
<optgroup>
<option>
<output>
<p>
<param>
Deprecated
<picture>
<plaintext>
Deprecated
<portal>
Experimental
<pre>
<progress>
<q>
<rb>
Deprecated
<rp>
<rt>
<rtc>
Deprecated
<ruby>
<s>
<samp>
<script>
<search>
<section>
<select>
<slot>
<small>
<source>
<span>
<strike>
Deprecated
<strong>
<style>
<sub>
<summary>
<sup>
<table>
<tbody>
<td>
<template>
<textarea>
<tfoot>
<th>
<thead>
<time>
<title>
<tr>
<track>
<tt>
Deprecated
<u>
<ul>
<var>
<video>
<wbr>
<xmp>
Deprecated
Global attributes
Attributes
<input> types",True,"{'x': 15.994318008422852, 'y': -2103.664794921875, 'width': 239.53124046325684, 'height': 5445.454345703125}",aside#sidebar-quicklinks > nav,,Related Topics,sidebar-inner,,True,False,1304,3,aside
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,nav,{},"In this article
Try it
Supported image formats
Image loading errors
Attributes
Styling with CSS
Accessibility
Examples
Security and privacy concerns
Technical summary
Specifications
Browser compatibility
See also",True,"{'x': 1007.6420288085938, 'y': 198.87783813476562, 'width': 223.63629150390625, 'height': 565.9800720214844}",div#root > div > div:nth-of-type(3) > div > div > aside > nav,,,,,True,False,212,1,aside
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,header,{'class': 'top-navigation \n      \n      '},"References
Learn
Plus
Curriculum
NEW
Blog
Tools
Search MDN
SEARCH
Theme
Log in
Sign up for free",True,"{'x': 0, 'y': 53.99147415161133, 'width': 1263.6363525390625, 'height': 64.90056991577148}",div#root > div > div:nth-of-type(2) > header,,,"top-navigation 
      
      ",,True,False,95,1,div
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,header,{'class': 'sidebar-actions'},Filter sidebar,True,"{'x': 15.994318008422852, 'y': 150.88067626953125, 'width': 239.53124046325684, 'height': 63.99147033691406}",aside#sidebar-quicklinks > nav > header,,,sidebar-actions,,True,False,14,1,nav
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,header,{},In this article,False,,aside#sidebar-quicklinks > nav > div > div > div > section > header,,,,,False,False,15,1,section
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,header,{},In this article,True,"{'x': 1007.6420288085938, 'y': 198.87783813476562, 'width': 223.63629150390625, 'height': 23.039764404296875}",div#root > div > div:nth-of-type(3) > div > div > aside > nav > div > section > header,,,,,True,False,15,1,section
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,header,{},"<img>: The Image Embed element
Baseline Widely available",True,"{'x': 319.8863525390625, 'y': 198.87783813476562, 'width': 639.7584838867188, 'height': 195.48294067382812}",main#content > article > header,,,,,True,False,56,2,article
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,media,footer,"{'id': 'nav-footer', 'class': 'page-footer'}","Your blueprint for a better internet.

MDN on Mastodon
MDN on X (formerly Twitter)
MDN on GitHub
MDN Blog RSS Feed
MDN
About
Blog
Careers
Advertise with us
Support
Product help
Report an issue
Our communities
MDN Community
MDN Forum
MDN Chat
Developers
Web Technologies
Learn Web Development
MDN Plus
Hacks Blog
Website Privacy Notice
Cookies
Legal
Community Participation Guidelines

Visit Mozilla Corporation’s not-for-profit parent, the Mozilla Foundation.
Portions of this content are ©1998–2025 by individual mozilla.org contributors. Content available under a Creative Commons license.",True,"{'x': 0, 'y': 23566.43359375, 'width': 1263.6363525390625, 'height': 344.9296875}",footer#nav-footer,,,page-footer,nav-footer,True,False,591,1,div
