url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://the-internet.herokuapp.com/,interactive,div,"{'id': 'flash-messages', 'class': 'large-12 columns'}",,True,"{'x': 131.81817626953125, 'y': 0, 'width': 999.9999389648438, 'height': 31.988636016845703}",div#flash-messages,,,large-12 columns,flash-messages,True,False,0,0,div
https://the-internet.herokuapp.com/,interactive,a,{'href': 'https://github.com/tourdedave/the-internet'},,False,"{'x': 131.81817626953125, 'y': 31.988636016845703, 'width': 0, 'height': 0}",html > body > div:nth-of-type(2) > a,,,,,False,False,0,1,div
https://the-internet.herokuapp.com/,interactive,div,"{'id': 'content', 'class': 'large-12 columns'}","Welcome to the-internet
Available Examples
A/B Testing
Add/Remove Elements
Basic Auth (user and pass: admin)
Broken Images
Challenging DOM
Checkboxes
Context Menu
Digest Authentication (user and pass: admin)
Disappearing Elements
Drag and Drop
Dropdown
Dynamic Content
Dynamic Controls
Dynamic Loading
Entry Ad
Exit Intent
File Download
File Upload
Floating Menu
Forgot Password
Form Authentication
Frames
Geolocation
Horizontal Slider
Hovers
Infinite Scroll
Inputs
JQuery UI Menus
JavaScript Alerts
JavaScript onload event error
Key Presses
Large & Deep DOM
Multiple Windows
Nested Frames
Notification Messages
Redirect Link
Secure File Download
Shadow DOM
Shifting Content
Slow Resources
Sortable Data Tables
Status Codes
Typos
WYSIWYG Editor",True,"{'x': 131.81817626953125, 'y': 31.988636016845703, 'width': 999.9999389648438, 'height': 1288.3095817565918}",div#content,,,large-12 columns,content,True,False,744,4,div
https://the-internet.herokuapp.com/,interactive,h1,{'class': 'heading'},Welcome to the-internet,True,"{'x': 146.81817626953125, 'y': 40.78125, 'width': 969.9999389648438, 'height': 61.60511016845703}",div#content > h1,,,heading,,True,False,23,0,div
https://the-internet.herokuapp.com/,interactive,h2,{},Available Examples,True,"{'x': 146.81817626953125, 'y': 124.37499237060547, 'width': 969.9999389648438, 'height': 51.803977966308594}",div#content > h2,,,,,True,False,18,0,div
https://the-internet.herokuapp.com/,interactive,ul,{},"A/B Testing
Add/Remove Elements
Basic Auth (user and pass: admin)
Broken Images
Challenging DOM
Checkboxes
Context Menu
Digest Authentication (user and pass: admin)
Disappearing Elements
Drag and Drop
Dropdown
Dynamic Content
Dynamic Controls
Dynamic Loading
Entry Ad
Exit Intent
File Download
File Upload
Floating Menu
Forgot Password
Form Authentication
Frames
Geolocation
Horizontal Slider
Hovers
Infinite Scroll
Inputs
JQuery UI Menus
JavaScript Alerts
JavaScript onload event error
Key Presses
Large & Deep DOM
Multiple Windows
Nested Frames
Notification Messages
Redirect Link
Secure File Download
Shadow DOM
Shifting Content
Slow Resources
Sortable Data Tables
Status Codes
Typos
WYSIWYG Editor",True,"{'x': 146.81817626953125, 'y': 194.6732940673828, 'width': 969.9999389648438, 'height': 1125.6249237060547}",div#content > ul,,,,,True,False,701,44,div
https://the-internet.herokuapp.com/,interactive,div,{'class': 'large-4 large-centered columns'},Powered by Elemental Selenium,True,"{'x': 465.1562194824219, 'y': 1340.2982177734375, 'width': 333.3238830566406, 'height': 35.8948974609375}",div#page-footer > div,,,large-4 large-centered columns,,True,False,29,2,div
https://the-internet.herokuapp.com/,interactive,hr,{},,True,"{'x': 480.1562194824219, 'y': 1340.2982177734375, 'width': 303.3238830566406, 'height': 0.9091796875}",div#page-footer > div > hr,,,,,True,False,0,0,div
https://the-internet.herokuapp.com/,interactive,div,{'style': 'text-align: center;'},Powered by Elemental Selenium,True,"{'x': 480.1562194824219, 'y': 1360.1988525390625, 'width': 303.3238830566406, 'height': 15.9942626953125}",div#page-footer > div > div,,,,,True,False,29,1,div
https://the-internet.herokuapp.com/,interactive,a,"{'target': '_blank', 'href': 'http://elementalselenium.com/'}",Elemental Selenium,True,"{'x': 605.1420288085938, 'y': 1358.380615234375, 'width': 142.3011474609375, 'height': 18.181884765625}",div#page-footer > div > div > a,,,,,True,False,18,0,div
