url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://www.wikipedia.org/,navigation,nav,"{'data-jsl10n': 'top-ten-nav-label', 'aria-label': 'Top languages', 'class': 'central-featured', 'data-el-section': 'primary links'}","English
6,924,000+ articles
Русский
2 014 000+ статей
日本語
1,440,000+ 記事
Deutsch
2.968.000+ Artikel
Français
2 652 000+ articles
Español
1.995.000+ artículos
中文
1,454,000+ 条目 / 條目
Italiano
1.895.000+ voci
فارسی
۱٬۰۲۲٬۰۰۰+ مقاله
Português
1.139.000+ artigos",True,"{'x': 358.8210144042969, 'y': 137.4857940673828, 'width': 545.9942932128906, 'height': 324.99998474121094}",body#www-wikipedia-org > main > nav,,Top languages,central-featured,,True,False,255,10,main
https://www.wikipedia.org/,navigation,nav,"{'data-jsl10n': 'all-languages-nav-label', 'aria-label': 'All languages'}",Read Wikipedia in your language,True,"{'x': 12.798295021057129, 'y': 547.5426025390625, 'width': 1238.0397176742554, 'height': 20.79547119140625}",body#www-wikipedia-org > main > nav:nth-of-type(2),,All languages,,,True,False,31,3,main
https://www.wikipedia.org/,navigation,nav,"{'data-jsl10n': 'other-projects-nav-label', 'aria-label': 'Other projects', 'class': 'other-projects'}","Commons
Free media collection
 
Wikivoyage
Free travel guide
 
Wiktionary
Free dictionary
 
Wikibooks
Free textbooks
 
Wikinews
Free news source
 
Wikidata
Free knowledge base
 
Wikiversity
Free learning resources
 
Wikiquote
Free quote compendium
 
MediaWiki
Free & open wiki software
 
Wikisource
Free content library
 
Wikispecies
Free species directory
 
Wikifunctions
Free function library
 
Meta-Wiki
Community coordination & documentation",True,"{'x': 446.1079406738281, 'y': 661.4346313476562, 'width': 804.7159118652344, 'height': 449.99993896484375}",body#www-wikipedia-org > footer > nav,,Other projects,other-projects,,True,False,445,13,footer
https://www.wikipedia.org/,interactive,button,"{'class': 'pure-button pure-button-primary-progressive', 'type': 'submit'}",Search,True,"{'x': 801.0084838867188, 'y': 472.0738525390625, 'width': 55.79547119140625, 'height': 43.991455078125}",form#search-form > fieldset > button,,,pure-button pure-button-primary-progressive,,True,False,6,1,fieldset
https://www.wikipedia.org/,interactive,button,"{'id': 'js-lang-list-button', 'aria-expanded': 'false', 'aria-controls': 'js-lang-lists', 'class': 'lang-list-button'}",Read Wikipedia in your language,True,"{'x': 481.8465881347656, 'y': 547.5426025390625, 'width': 299.9289245605469, 'height': 35.79547119140625}",button#js-lang-list-button,,,lang-list-button,js-lang-list-button,True,False,31,3,div
https://www.wikipedia.org/,interactive,button,"{'class': 'frb-header-minimize overlay-banner-toggle', 'aria-label': 'minimize'}",,False,,div#portalBanner_en6C_2024_overlayBanner5 > div > div > button,,minimize,frb-header-minimize overlay-banner-toggle,,False,False,0,1,div
https://www.wikipedia.org/,interactive,button,"{'type': 'button', 'class': 'button-center button-collapse overlay-banner-toggle'}",Collapse,False,,div#portalBanner_en6C_2024_overlayBanner5 > div > div > div:nth-of-type(2) > div:nth-of-type(4) > button,,,button-center button-collapse overlay-banner-toggle,,False,False,8,0,div
https://www.wikipedia.org/,interactive,a,"{'id': 'js-link-box-en', 'href': '//en.wikipedia.org/', 'title': 'English — Wikipedia — The Free Encyclopedia', 'class': 'link-box', 'data-slogan': 'The Free Encyclopedia'}","English
6,924,000+ articles",True,"{'x': 421.23577880859375, 'y': 137.4857940673828, 'width': 155.99432373046875, 'height': 46.6051025390625}",a#js-link-box-en,,,link-box,js-link-box-en,True,False,27,2,div
https://www.wikipedia.org/,interactive,a,"{'id': 'js-link-box-ru', 'href': '//ru.wikipedia.org/', 'title': 'Russkiy — Википедия — Свободная энциклопедия', 'class': 'link-box', 'data-slogan': 'Свободная энциклопедия'}","Русский
2 014 000+ статей",True,"{'x': 686.40625, 'y': 137.4857940673828, 'width': 155.9942626953125, 'height': 46.6051025390625}",a#js-link-box-ru,,,link-box,js-link-box-ru,True,False,25,2,div
https://www.wikipedia.org/,interactive,a,"{'id': 'js-link-box-ja', 'href': '//ja.wikipedia.org/', 'title': 'Nihongo — ウィキペディア — フリー百科事典', 'class': 'link-box', 'data-slogan': 'フリー百科事典'}","日本語
1,440,000+ 記事",True,"{'x': 366.6335144042969, 'y': 202.4857940673828, 'width': 155.99429321289062, 'height': 46.6051025390625}",a#js-link-box-ja,,,link-box,js-link-box-ja,True,False,17,2,div
