url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn web development,h3#learn-web-development,"{'id': 'learn-web-development', 'data-text': 'Learn web development', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn HTML,h3#learn-html,"{'id': 'learn-html', 'data-text': 'Learn HTML', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn CSS,h3#learn-css,"{'id': 'learn-css', 'data-text': 'Learn CSS', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn JavaScript,h3#learn-javascript,"{'id': 'learn-javascript', 'data-text': 'Learn JavaScript', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Performance,h3#learn-performance,"{'id': 'learn-performance', 'data-text': 'Learn Performance', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Privacy,h3#learn-privacy,"{'id': 'learn-privacy', 'data-text': 'Learn Privacy', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Accessibility,h3#learn-accessibility,"{'id': 'learn-accessibility', 'data-text': 'Learn Accessibility', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Images,h3#learn-images,"{'id': 'learn-images', 'data-text': 'Learn Images', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Design,h3#learn-design,"{'id': 'learn-design', 'data-text': 'Learn Design', 'class': 'hide-from-toc no-link'}"
https://web.dev/learn,h3,h3,content,content,False,True,True,Learn Forms,h3#learn-forms,"{'id': 'learn-forms', 'data-text': 'Learn Forms', 'class': 'hide-from-toc no-link'}"
