url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,nav,nav,navigation,navigation,False,True,True,"References
Learn
Plus
Curriculum
NEW
Blog
Tools",div#root > div > div:nth-of-type(2) > header > div > div:nth-of-type(2) > nav,"{'class': 'main-nav', 'aria-label': 'Main menu'}"
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,nav,nav,navigation,navigation,False,True,True,"References
HTML
Elements
<img>",div#root > div > div:nth-of-type(2) > div > div > nav,"{'class': 'breadcrumbs-container', 'aria-label': 'Breadcrumb'}"
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,nav,nav,navigation,navigation,False,True,True,"Filter sidebar
HTML
Beginner's tutorials
Guides
References
HTML elements
<a>
<abbr>
<acronym>
Deprecated
<address>
<area>
<article>
<aside>
<audio>
<b>
<base>
<bdi>
<bdo>
<big>
Deprecated
<blockquote>
<body>
<br>
<button>
<canvas>
<caption>
<center>
Deprecated
<cite>
<code>
<col>
<colgroup>
<data>
<datalist>
<dd>
<del>
<details>
<dfn>
<dialog>
<dir>
Deprecated
<div>
<dl>
<dt>
<em>
<embed>
<fencedframe>
Experimental
<fieldset>
<figcaption>
<figure>
<font>
Deprecated
<footer>
<form>
<frame>
Deprecated
<frameset>
Deprecated
<h1>
<head>
<header>
<hgroup>
<hr>
<html>
<i>
<iframe>
<img>
<input>
<ins>
<kbd>
<label>
<legend>
<li>
<link>
<main>
<map>
<mark>
<marquee>
Deprecated
<menu>
<meta>
<meter>
<nav>
<nobr>
Deprecated
<noembed>
Deprecated
<noframes>
Deprecated
<noscript>
<object>
<ol>
<optgroup>
<option>
<output>
<p>
<param>
Deprecated
<picture>
<plaintext>
Deprecated
<portal>
Experimental
<pre>
<progress>
<q>
<rb>
Deprecated
<rp>
<rt>
<rtc>
Deprecated
<ruby>
<s>
<samp>
<script>
<search>
<section>
<select>
<slot>
<small>
<source>
<span>
<strike>
Deprecated
<strong>
<style>
<sub>
<summary>
<sup>
<table>
<tbody>
<td>
<template>
<textarea>
<tfoot>
<th>
<thead>
<time>
<title>
<tr>
<track>
<tt>
Deprecated
<u>
<ul>
<var>
<video>
<wbr>
<xmp>
Deprecated
Global attributes
Attributes
<input> types",aside#sidebar-quicklinks > nav,"{'aria-label': 'Related Topics', 'class': 'sidebar-inner'}"
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,nav,nav,navigation,navigation,False,True,True,"In this article
Try it
Supported image formats
Image loading errors
Attributes
Styling with CSS
Accessibility
Examples
Security and privacy concerns
Technical summary
Specifications
Browser compatibility
See also",div#root > div > div:nth-of-type(3) > div > div > aside > nav,{}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,header,header,navigation,navigation,False,True,True,"References
Learn
Plus
Curriculum
NEW
Blog
Tools
Search MDN
SEARCH
Theme
Log in
Sign up for free",div#root > div > div:nth-of-type(2) > header,{'class': 'top-navigation \n      \n      '}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,header,header,navigation,navigation,False,True,True,Filter sidebar,aside#sidebar-quicklinks > nav > header,{'class': 'sidebar-actions'}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,header,header,navigation,navigation,False,False,True,In this article,aside#sidebar-quicklinks > nav > div > div > div > section > header,{}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,header,header,navigation,navigation,False,True,True,In this article,div#root > div > div:nth-of-type(3) > div > div > aside > nav > div > section > header,{}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,header,header,navigation,navigation,False,True,True,"<img>: The Image Embed element
Baseline Widely available",main#content > article > header,{}
https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,footer,footer,navigation,navigation,False,True,True,"Your blueprint for a better internet.

MDN on Mastodon
MDN on X (formerly Twitter)
MDN on GitHub
MDN Blog RSS Feed
MDN
About
Blog
Careers
Advertise with us
Support
Product help
Report an issue
Our communities
MDN Community
MDN Forum
MDN Chat
Developers
Web Technologies
Learn Web Development
MDN Plus
Hacks Blog
Website Privacy Notice
Cookies
Legal
Community Participation Guidelines

Visit Mozilla Corporation’s not-for-profit parent, the Mozilla Foundation.
Portions of this content are ©1998–2025 by individual mozilla.org contributors. Content available under a Creative Commons license.",footer#nav-footer,"{'id': 'nav-footer', 'class': 'page-footer'}"
