url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://pixabay.com/,header,header,navigation,navigation,False,True,True,"Explore
Log in
Join
Upload",div#app > div > header,{'class': 'header--TuwRF transparent--+Qg9m'}
https://pixabay.com/,footer,footer,navigation,navigation,False,True,True,"Over 5.2 million+ high quality stock images, videos and music shared by our talented community.
Discover
Editor's Choice
Curated Collections
Pixabay Radio
NEW
Popular Images
Popular Videos
Popular Music
Popular Searches
Community
Blog
Forum
Creators
Cameras
About
About Us
FAQ
License Summary
Terms of Service
Privacy Policy
Cookies Policy
Digital Services Act
Report Content
API
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",div#app > div > footer,{'class': 'footer--e9DSK'}
https://pixabay.com/,div,div,container,container,False,True,True,"Explore
Log in
Join
Upload
Stunning royalty-free images & royalty-free stock
Explore
Photos
Illustrations
Vectors
Videos
Music
Sound Effects
GIFs
woman
wallpaper
flowers
new year
mountain
happy new year 2025
new year 2025
travel
merry christmas
sea
house
tree
iphone wallpaper
Free image by Anrita1705
Read more about the Content License
Over 5.2 million+ high quality stock images, videos and music shared by our talented community.
Editor's Choice
Latest
Trending
Architect
Engineer
Edit image
Trees
Nature Background
Edit image
Dent Blanche
Swiss Alps
Edit image
Music playlist
Zen Meditation
28 tracks
5 hrs 8 mins
Woman
Rituals
Tradition
Edit image
Chrysanthemum
Edit image
Sunflowers
Flowers
Edit image
Ireland
Library
Books
Edit image
Painting
Creativity
Edit image
Lake
Fireworks
4K
00:37
Bus
School Bus
Vehicle
Edit image
Wind Power Generation
Edit image
Woman
Model
Park
Trees
Edit image
Little Red Riding Hood
Edit image
Accessories
Accessory
Edit image
Music playlist
Dance Party
18 tracks
48 mins 27 secs
Lantern
Sea
Heaven
Edit image
Whisky
Whiskey
Edit image
Bubble
Winter
Edit image
Stair
Windows
Edit image
Moped
Scooter
Edit image
Trees
Fall
Edit image
Firenze
Italy
Edit image
Flowers
Field
Petals
4K
00:05
Animal
Nature
Wildlife
Edit image
Christmas
Stars
Edit image
Music playlist
Yoga Session
22 tracks
2 hrs 31 mins
Grey Wolf
Wolf
Animal
Edit image
Studio
Microphone
Mic
Edit image
Music playlist
Running
24 tracks
44 mins 59 secs
Yellow
Blue
Container
Edit image
Vlog Music (Beat Trailer Showreel Promo Background Intro Theme)
Mountains
Nature
Snow
Edit image
Mother
Child
Farm
Edit image
Spinning Head
Chongqing
China
City
Edit image
Fireworks
Night
Sky
Edit image
Man
Drinking
Whiskey
Edit image
Fishing
Vietnam
Edit image
Space
Astronomy
Galaxy
Edit image
Discover more

Free media you can use anywhere

Pixabay is a vibrant community of creatives, sharing royalty-free images, videos, audio and other media. All content is released by Pixabay under the Content License, which makes it safe to use without asking for permission or giving credit to the artist - even for certain commercial purposes.

Learn more about our license
Over 5.2 million+ high quality stock images, videos and music shared by our talented community.
Discover
Editor's Choice
Curated Collections
Pixabay Radio
NEW
Popular Images
Popular Videos
Popular Music
Popular Searches
Community
Blog
Forum
Creators
Cameras
About
About Us
FAQ
License Summary
Terms of Service
Privacy Policy
Cookies Policy
Digital Services Act
Report Content
API
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",div#app > div,{'data-hid': 'root'}
https://pixabay.com/,header,header,navigation,navigation,False,True,True,"Explore
Log in
Join
Upload",div#app > div > header,{'class': 'header--TuwRF transparent--+Qg9m'}
https://pixabay.com/,div,div,container,container,False,True,False,,div#app > div > header > div > div,{'class': 'logo--Fxnxa'}
https://pixabay.com/,a,a,navigation,interactive,True,True,False,,div#app > div > header > div > div > a,"{'href': '/', 'aria-label': 'Pixabay'}"
https://pixabay.com/,div,div,container,container,False,True,True,Explore,div#app > div > header > div > div:nth-of-type(2),{'class': 'exploreMenu--tBPHM'}
https://pixabay.com/,div,div,container,container,False,True,True,Explore,div#app > div > header > div > div:nth-of-type(2) > div,{'class': 'container--YKYLB'}
https://pixabay.com/,div,div,container,container,False,True,True,Explore,div#app > div > header > div > div:nth-of-type(2) > div > div,{'class': 'triggerWrapper--NACCC'}
https://pixabay.com/,button,button,interactive,interactive,True,True,True,Explore,div#app > div > header > div > div:nth-of-type(2) > div > div > button,"{'class': 'buttonBase--r4opq tertiaryButton--+4ehJ base--jzyee dark--jRuwC', 'type': 'button'}"
https://pixabay.com/,div,div,container,container,False,False,True,MediaPhotosIllustrationsVectorsVideosMusicSound EffectsGIFsDiscoverEditor's ChoiceCurated CollectionsPixabay RadioNewPopular ImagesPopular VideosPopular MusicPopular SearchesTrendingChristmasThanksgivingHappy BirthdayGood MorningCartoonCommunityCreatorsForumBlogCamerasAboutAbout UsFAQLicense SummaryTerms of ServicePrivacy PolicyCookies PolicyDigital Services ActReport ContentAPI LanguageČeštinaDanskDeutschEnglishEspañolFrançaisIndonesiaItalianoMagyarNederlandsNorskPolskiPortuguêsRomânăSlovenčinaSuomiSvenskaTürkçeViệtไทยБългарскиРусскийΕλληνική日本語한국어简体中文,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2),{'class': 'dropdown--QzC2F dark--pbGst right--Yg1-e hidden--Q5vOS'}
https://pixabay.com/,div,div,container,container,False,False,True,MediaPhotosIllustrationsVectorsVideosMusicSound EffectsGIFsDiscoverEditor's ChoiceCurated CollectionsPixabay RadioNewPopular ImagesPopular VideosPopular MusicPopular SearchesTrendingChristmasThanksgivingHappy BirthdayGood MorningCartoonCommunityCreatorsForumBlogCamerasAboutAbout UsFAQLicense SummaryTerms of ServicePrivacy PolicyCookies PolicyDigital Services ActReport ContentAPI LanguageČeštinaDanskDeutschEnglishEspañolFrançaisIndonesiaItalianoMagyarNederlandsNorskPolskiPortuguêsRomânăSlovenčinaSuomiSvenskaTürkçeViệtไทยБългарскиРусскийΕλληνική日本語한국어简体中文,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div,{'class': 'container--kDUDv includeTrending--Cc8yH'}
https://pixabay.com/,div,div,container,container,False,False,True,MediaPhotosIllustrationsVectorsVideosMusicSound EffectsGIFsDiscoverEditor's ChoiceCurated CollectionsPixabay RadioNewPopular ImagesPopular VideosPopular MusicPopular SearchesTrendingChristmasThanksgivingHappy BirthdayGood MorningCartoonCommunityCreatorsForumBlogCamerasAboutAbout UsFAQLicense SummaryTerms of ServicePrivacy PolicyCookies PolicyDigital Services ActReport ContentAPI LanguageČeštinaDanskDeutschEnglishEspañolFrançaisIndonesiaItalianoMagyarNederlandsNorskPolskiPortuguêsRomânăSlovenčinaSuomiSvenskaTürkçeViệtไทยБългарскиРусскийΕλληνική日本語한국어简体中文,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div,{'class': 'siteMenu--6po+J'}
https://pixabay.com/,div,div,container,container,False,False,True,MediaPhotosIllustrationsVectorsVideosMusicSound EffectsGIFsDiscoverEditor's ChoiceCurated CollectionsPixabay RadioNewPopular ImagesPopular VideosPopular MusicPopular Searches,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div,{'class': 'leftCollapseMd--ILfsb'}
https://pixabay.com/,div,div,container,container,False,False,True,MediaPhotosIllustrationsVectorsVideosMusicSound EffectsGIFs,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div,{'class': 'dropdownMenu--XdQD-'}
https://pixabay.com/,div,div,container,container,False,False,True,Media,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > div,{'class': 'dropdownMenuHeading--AaOzc'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Photos,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a,"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/photos/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a > div > span,{'class': 'icon--L+lBh photo--q4EAP'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Illustrations,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(2),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/illustrations/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(2) > div > span,{'class': 'icon--L+lBh illustration--U5DXd'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Vectors,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(3),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/vectors/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(3) > div > span,{'class': 'icon--L+lBh vector--FUgoN'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Videos,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(4),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/videos/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(4) > div > span,{'class': 'icon--L+lBh video--ECx9r'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Music,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(5),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/music/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(5) > div > span,{'class': 'icon--L+lBh music--VR9Xr'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Sound Effects,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(6),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/sound-effects/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(6) > div > span,{'class': 'icon--L+lBh sound-effect--+ZJ0V'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,GIFs,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(7),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/gifs/'}"
https://pixabay.com/,span,span,container,container,False,False,False,,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > a:nth-of-type(7) > div > span,{'class': 'icon--L+lBh flame--+xiI7'}
https://pixabay.com/,div,div,container,container,False,False,True,DiscoverEditor's ChoiceCurated CollectionsPixabay RadioNewPopular ImagesPopular VideosPopular MusicPopular Searches,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2),{'class': 'dropdownMenu--XdQD-'}
https://pixabay.com/,div,div,container,container,False,False,True,Discover,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > div,{'class': 'dropdownMenuHeading--AaOzc'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Editor's Choice,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a,"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/editors_choice/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Curated Collections,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(2),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/collections/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Pixabay RadioNew,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(3),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/playlists/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Popular Images,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(4),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Popular Videos,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(5),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/videos/search/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Popular Music,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(6),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/music/search/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Popular Searches,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > a:nth-of-type(7),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/popular-searches/'}"
https://pixabay.com/,div,div,container,container,False,False,True,TrendingChristmasThanksgivingHappy BirthdayGood MorningCartoonCommunityCreatorsForumBlogCameras,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2),{'class': 'centerCollapse--LRV3c'}
https://pixabay.com/,div,div,container,container,False,False,True,TrendingChristmasThanksgivingHappy BirthdayGood MorningCartoon,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div,{'class': 'dropdownMenu--XdQD-'}
https://pixabay.com/,div,div,container,container,False,False,True,Trending,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div,{'class': 'dropdownMenuHeading--AaOzc'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Christmas,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > a,"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/christmas/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Thanksgiving,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > a:nth-of-type(2),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/thanksgiving/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Happy Birthday,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > a:nth-of-type(3),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/happy%20birthday/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Good Morning,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > a:nth-of-type(4),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/good%20morning/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Cartoon,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > a:nth-of-type(5),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/images/search/cartoon/'}"
https://pixabay.com/,div,div,container,container,False,False,True,CommunityCreatorsForumBlogCameras,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2),{'class': 'dropdownMenu--XdQD-'}
https://pixabay.com/,div,div,container,container,False,False,True,Community,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2) > div,{'class': 'dropdownMenuHeading--AaOzc'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Creators,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2) > a,"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/users/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Forum,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2) > a:nth-of-type(2),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/forum/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Blog,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2) > a:nth-of-type(3),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/blog/'}"
https://pixabay.com/,a,a,navigation,interactive,True,False,True,Cameras,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div:nth-of-type(2) > a:nth-of-type(4),"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/cameras/'}"
https://pixabay.com/,div,div,container,container,False,False,True,AboutAbout UsFAQLicense SummaryTerms of ServicePrivacy PolicyCookies PolicyDigital Services ActReport ContentAPI LanguageČeštinaDanskDeutschEnglishEspañolFrançaisIndonesiaItalianoMagyarNederlandsNorskPolskiPortuguêsRomânăSlovenčinaSuomiSvenskaTürkçeViệtไทยБългарскиРусскийΕλληνική日本語한국어简体中文,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(3),{'class': 'rightCollapse--fNYLX'}
https://pixabay.com/,div,div,container,container,False,False,True,AboutAbout UsFAQLicense SummaryTerms of ServicePrivacy PolicyCookies PolicyDigital Services ActReport ContentAPI LanguageČeštinaDanskDeutschEnglishEspañolFrançaisIndonesiaItalianoMagyarNederlandsNorskPolskiPortuguêsRomânăSlovenčinaSuomiSvenskaTürkçeViệtไทยБългарскиРусскийΕλληνική日本語한국어简体中文,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(3) > div,{'class': 'dropdownMenu--XdQD-'}
https://pixabay.com/,div,div,container,container,False,False,True,About,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(3) > div > div,{'class': 'dropdownMenuHeading--AaOzc'}
https://pixabay.com/,a,a,navigation,interactive,True,False,True,About Us,div#app > div > header > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div:nth-of-type(3) > div > a,"{'class': 'dropdownMenuItem--yZ9j-', 'href': '/service/about/'}"
