url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://tailwindcss.com/docs/installation,nav,nav,navigation,navigation,False,True,True,"Docs
Components
Blog
Showcase",div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > nav,{'class': 'text-sm leading-6 font-semibold text-slate-700 dark:text-slate-200'}
https://tailwindcss.com/docs/installation,nav,nav,navigation,navigation,False,True,True,"Quick search...
Ctrl K
Documentation
Components
Templates
Screencasts
Playground
Resources
Community
Getting Started
Installation
Editor Setup
Using with Preprocessors
Optimizing for Production
Browser Support
Upgrade Guide
Core Concepts
Utility-First Fundamentals
Hover, Focus, and Other States
Responsive Design
Dark Mode
Reusing Styles
Adding Custom Styles
Functions & Directives
Customization
Configuration
Content
Theme
Screens
Colors
Spacing
Plugins
Presets
Base Styles
Preflight
Layout
Aspect Ratio
Container
Columns
Break After
Break Before
Break Inside
Box Decoration Break
Box Sizing
Display
Floats
Clear
Isolation
Object Fit
Object Position
Overflow
Overscroll Behavior
Position
Top / Right / Bottom / Left
Visibility
Z-Index
Flexbox & Grid
Flex Basis
Flex Direction
Flex Wrap
Flex
Flex Grow
Flex Shrink
Order
Grid Template Columns
Grid Column Start / End
Grid Template Rows
Grid Row Start / End
Grid Auto Flow
Grid Auto Columns
Grid Auto Rows
Gap
Justify Content
Justify Items
Justify Self
Align Content
Align Items
Align Self
Place Content
Place Items
Place Self
Spacing
Padding
Margin
Space Between
Sizing
Width
Min-Width
Max-Width
Height
Min-Height
Max-Height
Size
Typography
Font Family
Font Size
Font Smoothing
Font Style
Font Weight
Font Variant Numeric
Letter Spacing
Line Clamp
Line Height
List Style Image
List Style Position
List Style Type
Text Align
Text Color
Text Decoration
Text Decoration Color
Text Decoration Style
Text Decoration Thickness
Text Underline Offset
Text Transform
Text Overflow
Text Wrap
Text Indent
Vertical Align
Whitespace
Word Break
Hyphens
Content
Backgrounds
Background Attachment
Background Clip
Background Color
Background Origin
Background Position
Background Repeat
Background Size
Background Image
Gradient Color Stops
Borders
Border Radius
Border Width
Border Color
Border Style
Divide Width
Divide Color
Divide Style
Outline Width
Outline Color
Outline Style
Outline Offset
Ring Width
Ring Color
Ring Offset Width
Ring Offset Color
Effects
Box Shadow
Box Shadow Color
Opacity
Mix Blend Mode
Background Blend Mode
Filters
Blur
Brightness
Contrast
Drop Shadow
Grayscale
Hue Rotate
Invert
Saturate
Sepia
Backdrop Blur
Backdrop Brightness
Backdrop Contrast
Backdrop Grayscale
Backdrop Hue Rotate
Backdrop Invert
Backdrop Opacity
Backdrop Saturate
Backdrop Sepia
Tables
Border Collapse
Border Spacing
Table Layout
Caption Side
Transitions & Animation
Transition Property
Transition Duration
Transition Timing Function
Transition Delay
Animation
Transforms
Scale
Rotate
Translate
Skew
Transform Origin
Interactivity
Accent Color
Appearance
Cursor
Caret Color
Pointer Events
Resize
Scroll Behavior
Scroll Margin
Scroll Padding
Scroll Snap Align
Scroll Snap Stop
Scroll Snap Type
Touch Action
User Select
Will Change
SVG
Fill
Stroke
Stroke Width
Accessibility
Screen Readers
Forced Color Adjust
Official Plugins
Typography
Forms
Aspect Ratio
Container Queries",nav#nav,"{'id': 'nav', 'class': 'lg:text-sm lg:leading-6 relative pb-20'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,True,v3.4.17,button#headlessui-menu-button-:r1:,"{'class': 'text-xs leading-5 font-semibold bg-slate-400/10 rounded-full py-1 px-3 flex items-center space-x-2 hover:bg-slate-400/20 dark:highlight-white/5', 'id': 'headlessui-menu-button-:r1:', 'type': 'button', 'aria-haspopup': 'menu', 'aria-expanded': 'false', 'data-headlessui-state': ''}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,button#headlessui-listbox-button-:r5:,"{'type': 'button', 'id': 'headlessui-listbox-button-:r5:', 'aria-haspopup': 'listbox', 'aria-expanded': 'false', 'data-headlessui-state': '', 'aria-labelledby': 'headlessui-label-:r4: headlessui-listbox-button-:r5:'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,False,True,Search,div#__next > div:nth-of-type(2) > div > div > div > button,"{'type': 'button', 'class': 'ml-auto text-slate-500 w-8 h-8 -my-1 flex items-center justify-center hover:text-slate-600 lg:hidden dark:text-slate-400 dark:hover:text-slate-300'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,False,True,Navigation,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(3) > button,"{'type': 'button', 'class': 'text-slate-500 w-8 h-8 flex items-center justify-center hover:text-slate-600 dark:text-slate-400 dark:hover:text-slate-300'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,False,True,Navigation,div#__next > div:nth-of-type(2) > div > div:nth-of-type(2) > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-600 dark:text-slate-400 dark:hover:text-slate-300'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,True,"Quick search...
Ctrl K",nav#nav > div > div:nth-of-type(2) > button,"{'type': 'button', 'class': 'hidden w-full lg:flex items-center text-sm leading-6 text-slate-400 rounded-md ring-1 ring-slate-900/10 shadow-sm py-1.5 pl-2 pr-3 hover:ring-slate-300 dark:bg-slate-800 dark:highlight-white/5 dark:hover:bg-slate-700'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,div#__next > div:nth-of-type(3) > div > div:nth-of-type(2) > main > section > ol > li > div:nth-of-type(2) > div > div:nth-of-type(3) > div > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-400'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,div#__next > div:nth-of-type(3) > div > div:nth-of-type(2) > main > section > ol > li:nth-of-type(2) > div:nth-of-type(2) > div > div:nth-of-type(3) > div > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-400'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,div#__next > div:nth-of-type(3) > div > div:nth-of-type(2) > main > section > ol > li:nth-of-type(3) > div:nth-of-type(2) > div > div:nth-of-type(3) > div > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-400'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,div#__next > div:nth-of-type(3) > div > div:nth-of-type(2) > main > section > ol > li:nth-of-type(4) > div:nth-of-type(2) > div > div:nth-of-type(3) > div > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-400'}"
https://tailwindcss.com/docs/installation,button,button,interactive,interactive,True,True,False,,div#__next > div:nth-of-type(3) > div > div:nth-of-type(2) > main > section > ol > li:nth-of-type(5) > div:nth-of-type(2) > div > div:nth-of-type(3) > div > button,"{'type': 'button', 'class': 'text-slate-500 hover:text-slate-400'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Tailwind CSS home page,div#__next > div:nth-of-type(2) > div > div > div > a,"{'class': 'mr-3 flex-none w-[2.0625rem] overflow-hidden md:w-auto', 'href': '/'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,"Introducing Catalyst
A modern application UI kit for React",div#__next > div:nth-of-type(2) > div > div > div > a:nth-of-type(2),"{'href': 'https://tailwindcss.com/blog/2024-05-24-catalyst-application-layouts', 'class': 'ml-3 text-xs leading-5 font-medium text-sky-600 dark:text-sky-400 bg-sky-400/10 rounded-full py-1 px-3 hidden xl:flex items-center hover:bg-sky-400/20'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Docs,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > nav > ul > li > a,"{'class': 'hover:text-sky-500 dark:hover:text-sky-400', 'href': '/docs/installation'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Components,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > nav > ul > li:nth-of-type(2) > a,"{'href': 'https://tailwindui.com/?ref=top', 'class': 'hover:text-sky-500 dark:hover:text-sky-400'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Blog,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > nav > ul > li:nth-of-type(3) > a,"{'class': 'hover:text-sky-500 dark:hover:text-sky-400', 'href': '/blog'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Showcase,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > nav > ul > li:nth-of-type(4) > a,"{'class': 'hover:text-sky-500 dark:hover:text-sky-400', 'href': '/showcase'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Tailwind CSS on GitHub,div#__next > div:nth-of-type(2) > div > div > div > div:nth-of-type(2) > div > a,"{'href': 'https://github.com/tailwindlabs/tailwindcss', 'class': 'ml-6 block text-slate-400 hover:text-slate-500 dark:hover:text-slate-300'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Documentation,nav#nav > ul > li > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-semibold text-sky-500 dark:text-sky-400', 'href': '/docs/installation'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Components,nav#nav > ul > li:nth-of-type(2) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': 'https://tailwindui.com/components?ref=sidebar'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Templates,nav#nav > ul > li:nth-of-type(3) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': 'https://tailwindui.com/templates?ref=sidebar'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Screencasts,nav#nav > ul > li:nth-of-type(4) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': 'https://www.youtube.com/tailwindlabs'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Playground,nav#nav > ul > li:nth-of-type(5) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': 'https://play.tailwindcss.com'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Resources,nav#nav > ul > li:nth-of-type(6) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/resources'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Community,nav#nav > ul > li:nth-of-type(7) > a,"{'class': 'group flex items-center lg:text-sm lg:leading-6 mb-4 font-medium text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': 'https://github.com/tailwindlabs/tailwindcss/discussions'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Installation,nav#nav > ul > li:nth-of-type(8) > ul > li > a,"{'class': 'block border-l pl-4 -ml-px text-sky-500 border-current font-semibold dark:text-sky-400', 'href': '/docs/installation'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Editor Setup,nav#nav > ul > li:nth-of-type(8) > ul > li:nth-of-type(2) > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/editor-setup'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Using with Preprocessors,nav#nav > ul > li:nth-of-type(8) > ul > li:nth-of-type(3) > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/using-with-preprocessors'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Optimizing for Production,nav#nav > ul > li:nth-of-type(8) > ul > li:nth-of-type(4) > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/optimizing-for-production'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Browser Support,nav#nav > ul > li:nth-of-type(8) > ul > li:nth-of-type(5) > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/browser-support'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Upgrade Guide,nav#nav > ul > li:nth-of-type(8) > ul > li:nth-of-type(6) > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/upgrade-guide'}"
https://tailwindcss.com/docs/installation,a,a,navigation,interactive,True,True,True,Utility-First Fundamentals,nav#nav > ul > li:nth-of-type(9) > ul > li > a,"{'class': 'block border-l pl-4 -ml-px border-transparent hover:border-slate-400 dark:hover:border-slate-500 text-slate-700 hover:text-slate-900 dark:text-slate-400 dark:hover:text-slate-300', 'href': '/docs/utility-first'}"
