url,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,element_type
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button'}",,False,,button#button,,,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Expand'}",,False,,button#button,,Expand,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Collapse'}",,False,,button#button,,Collapse,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Expand'}",,False,,button#button,,Expand,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Collapse'}",,False,,button#button,,Collapse,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'class': 'yt-spec-button-shape-next yt-spec-button-shape-next--tonal yt-spec-button-shape-next--overlay-dark yt-spec-button-shape-next--size-l yt-spec-button-shape-next--icon-button', 'aria-disabled': 'false', 'aria-label': 'Play (k)', 'title': '', 'style': ''}",,False,,div#shorts-player-overlay > div > ytd-button-renderer > yt-button-shape > button,,Play (k),yt-spec-button-shape-next yt-spec-button-shape-next--tonal yt-spec-button-shape-next--overlay-dark yt-spec-button-shape-next--size-l yt-spec-button-shape-next--icon-button,,
https://www.youtube.com/,button,"{'aria-label': 'Mute', 'title': 'Mute', 'class': 'ytdDesktopShortsVolumeControlsMuteIconButton'}",,False,,div#shorts-player-overlay > div > desktop-shorts-volume-controls > button,,Mute,ytdDesktopShortsVolumeControlsMuteIconButton,,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Back'}",,False,,button#button,,Back,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Guide'}",,True,"{'x': 23.99147605895996, 'y': 15.994318008422852, 'width': 24.00568199157715, 'height': 24.00568199157715}",button#button,,Guide,style-scope yt-icon-button,button,
https://www.youtube.com/,button,"{'class': 'yt-spec-button-shape-next yt-spec-button-shape-next--tonal yt-spec-button-shape-next--mono yt-spec-button-shape-next--size-m', 'aria-disabled': 'false', 'aria-label': 'Skip navigation', 'title': '', 'style': ''}",Skip navigation,True,"{'x': 15.994318008422852, 'y': -999.9999389648438, 'width': 127.95453453063965, 'height': 35.9942626953125}",div#skip-navigation > ytd-button-renderer > yt-button-shape > button,,Skip navigation,yt-spec-button-shape-next yt-spec-button-shape-next--tonal yt-spec-button-shape-next--mono yt-spec-button-shape-next--size-m,,
https://www.youtube.com/,button,"{'aria-label': 'Search', 'class': 'ytSearchboxComponentSearchButton', 'title': 'Search'}",,True,"{'x': 849.8295288085938, 'y': 7.997159004211426, 'width': 63.991455078125, 'height': 39.999999046325684}",div#center > yt-searchbox > button,,Search,ytSearchboxComponentSearchButton,,
https://www.youtube.com/,button,"{'class': 'yt-spec-button-shape-next yt-spec-button-shape-next--text yt-spec-button-shape-next--mono yt-spec-button-shape-next--size-m yt-spec-button-shape-next--icon-only-default', 'aria-disabled': 'false', 'aria-label': 'Clear search query', 'title': '', 'style': ''}",,False,,div#search-clear-button > ytd-button-renderer > yt-button-shape > button,,Clear search query,yt-spec-button-shape-next yt-spec-button-shape-next--text yt-spec-button-shape-next--mono yt-spec-button-shape-next--size-m yt-spec-button-shape-next--icon-only-default,,
https://www.youtube.com/,button,"{'id': 'search-icon-legacy', 'class': 'style-scope ytd-searchbox', 'aria-label': 'Search'}",Search,False,,button#search-icon-legacy,,Search,style-scope ytd-searchbox,search-icon-legacy,
https://www.youtube.com/,button,"{'id': 'button', 'class': 'style-scope yt-icon-button', 'aria-label': 'Search'}",Search,False,,button#button,,Search,style-scope yt-icon-button,button,
